FID_,node_fid,Lon,Lat,Lon_m,Lat_m
,68,-72.764869171499996,42.766570159499999,1871732.753599999900000,2426582.414299999800000
,69,-72.766384931199994,42.772308947200003,1871457.863799999900000,2427174.797199999900000
,70,-72.766462884999996,42.772739721900003,1871440.058310000000000,2427219.969200000200000
,71,-72.767185741800006,42.773625263400000,1871359.045399999900000,2427301.750260000100000
,72,-72.813004972700000,42.522372846600000,1874525.937600000100000,2399149.936300000200000
,73,-72.812916105499994,42.521853313599998,1874547.009000000100000,2399095.331600000200000
,74,-72.634336125100006,42.687965483500001,1884174.009499999900000,2420640.038900000000000
,75,-72.631570912900003,42.686411133599997,1884434.767780000100000,2420526.373879999900000
,76,-72.630880006300004,42.685596862499999,1884511.508840000000000,2420451.806659999800000
,77,-72.629779856799999,42.683461949500000,1884656.517599999900000,2420242.197300000100000
,78,-72.749226104800002,42.845332908600000,1870835.780599999900000,2435429.728300000100000
,79,-72.744614502900006,42.839442973899999,1871358.856100000000000,2434882.002799999900000
,80,-72.674854673499993,42.709586152599996,1880385.450200000100000,2422181.305800000200000
,81,-72.674352871699995,42.708540152799998,1880453.493500000100000,2422077.838500000100000
,82,-72.963427231699995,42.687686937999999,1858169.704900000000000,2414130.131000000100000
,83,-72.973579168300006,42.688908538400000,1857334.165800000100000,2414064.215499999900000
,84,-73.008608398099994,42.979606124599997,1846782.088500000100000,2444916.276600000000000
,85,-73.004981397700007,42.970164056000002,1847320.469199999900000,2443962.673800000000000
,86,-72.590066040200000,42.626345140200002,1889350.889500000000000,2414839.332700000100000
,87,-72.591226311100002,42.627002091900003,1889241.244089999900000,2414887.478500000200000
,88,-72.591473589900005,42.627043822300003,1889220.555010000000000,2414887.086170000000000
,89,-72.593039507200004,42.626946740000001,1889099.387099999900000,2414845.433800000200000
,90,-72.752880086900007,42.537463517399999,1878880.892199999900000,2401974.126000000200000
,91,-72.741831383499999,42.536045611600002,1879794.380889999900000,2402038.839389999900000
,92,-72.727137744800004,42.541666919100003,1880805.783899999900000,2402939.209100000100000
,93,-72.741446698700003,42.766742894300002,1873577.096399999900000,2427062.688900000000000
,94,-72.743928897900005,42.757800492199998,1873623.267000000000000,2426044.210200000100000
,95,-72.816274926399998,42.840935771900000,1865667.092500000000000,2433634.885700000000000
,96,-72.823731796299995,42.844301572500001,1864988.149200000100000,2433853.474400000200000
,97,-72.963439576699997,42.870407572200001,1853267.477100000000000,2433951.534399999800000
,98,-72.956427573799999,42.878630228299997,1853599.890650000000000,2434980.154600000000000
,99,-72.953448241900006,42.881568508100003,1853755.991100000000000,2435356.960000000000000
,100,-72.707814554799995,42.788370566300003,1875645.438499999900000,2430070.835800000000000
,101,-72.706651954099996,42.790661499599999,1875675.054900000100000,2430342.133500000000000
,102,-72.835329600400001,42.834787569699998,1864330.008600000100000,2432594.279600000000000
,103,-72.835732146799998,42.838466589500001,1864199.042240000100000,2432985.318330000200000
,104,-72.835441333099993,42.838908970500000,1864210.050899999900000,2433038.992600000000000
,105,-72.801964383300003,42.757402690699998,1869051.747299999900000,2424858.276099999900000
,106,-72.801101917200000,42.757684490800003,1869112.238500000000000,2424905.796699999800000
,107,-72.743493103500001,42.845436109399998,1871285.038900000000000,2435553.790300000000000
,108,-72.975931161099993,42.577939317499997,1860123.828500000100000,2401977.332299999900000
,109,-72.968384644799997,42.579141688599996,1860689.278410000000000,2402255.540029999800000
,110,-72.963283224899996,42.579524118099997,1861083.049799999900000,2402396.931400000100000
,111,-72.793977514999995,42.765588492100001,1869461.242700000100000,2425903.014099999800000
,112,-72.790166677700000,42.764162372300000,1869800.650029999900000,2425823.346030000100000
,113,-72.782630976600004,42.760656292000000,1870490.379000000000000,2425591.464800000200000
,114,-72.817725780100005,42.617432331000003,1871585.466300000000000,2409368.087400000100000
,115,-72.810530176800000,42.616974063900003,1872167.193400000000000,2409460.114500000100000
,116,-73.031682598100005,42.855878500099998,1848273.419999999900000,2431046.434900000200000
,117,-73.022887661599995,42.858167967400000,1848906.061700000000000,2431465.889899999800000
,118,-72.827500178400001,42.559992720200000,1872362.128700000000000,2402945.062899999800000
,119,-72.826572511600006,42.562415253399998,1872370.213500000100000,2403226.125800000000000
,120,-72.814546379800007,42.632328932999997,1871434.834500000100000,2411046.428799999900000
,121,-72.813159288700007,42.629087051200003,1871632.098449999900000,2410722.126499999800000
,122,-72.810306721299995,42.617530599200002,1872169.845150000000000,2409524.879780000100000
,123,-72.680795671599995,42.652778941500003,1881458.483999999900000,2415904.974100000200000
,124,-72.675934050999999,42.649199712700003,1881940.026760000000000,2415613.177540000100000
,125,-72.673777553500003,42.642295487200002,1882298.034150000000000,2414907.334220000100000
,126,-72.668297933100007,42.643548540499999,1882697.250199999900000,2415151.733700000200000
,127,-72.675020369099997,42.642909903300001,1882183.081350000100000,2414949.333720000000000
,128,-72.675608107100004,42.648706615199998,1881979.187059999900000,2415566.171010000200000
,129,-72.675395186399996,42.647758871299999,1882021.759060000100000,2415467.633899999800000
,130,-72.859083001399995,42.751444153800001,1864701.715099999900000,2423090.026099999900000
,131,-72.857920534399994,42.745324752999998,1864958.417799999900000,2422449.152499999900000
,132,-73.019617671399999,43.017185864299996,1844909.789500000000000,2448778.309299999800000
,133,-73.015621081800006,43.007454539299999,1845484.723000000000000,2447800.470060000200000
,134,-73.019826604700000,43.004461527899998,1845233.720800000000000,2447394.188200000200000
,135,-73.042163056800007,42.680756067300003,1852128.300100000100000,2411841.078600000100000
