bar_id	bar_pass	bar_type	bar_type_text	unique_id	node_id	Lon	Lat	Lon_m	Lat_m
1091	0.3	1	Culvert	xy4263368872815908	2329	-72.81589973	42.63369615	1871290.861	2411168.07
1092	0.3	1	Culvert	xy4267759772800118	3051	-72.80012052	42.67760472	1871352.891	2416240.925
1093	0.3	1	Culvert	xy4261571372819508	2957	-72.81950596	42.61571359	1871491.004	2409146.607
1094	0.4	1	Culvert	xy4272612572780867	2475	-72.78087074	42.72613271	1871562.652	2421882.563
1095	0.9	1	Culvert	xy4262908472813153	121	-72.81315929	42.62908705	1871632.098	2410722.126
1096	0.8	1	Culvert	xy4267796572794117	3052	-72.79411163	42.67797023	1871818.034	2416398.903
1097	0.6	1	Culvert	xy4267019972796517	973	-72.79652345	42.67020201	1871837.259	2415508.939
1098	0.4	1	Culvert	xy4267317572795247	976	-72.79525392	42.67317967	1871857.173	2415856.872
1099	1	1	Culvert	xy4270401272782903	2510	-72.78290024	42.7040124	1872000.296	2419443.879
1100	0.5	1	Culvert	xy4267368772790317	974	-72.79032116	42.67368738	1872233.42	2416009.103
1101	0.4	1	Culvert	xy4267961672785681	335	-72.78567631	42.67962226	1872440.198	2416744.234
1102	0.5	1	Culvert	xy4267966872784683	334	-72.7846861	42.67966798	1872517.236	2416768.704
1103	0.5	1	Culvert	xy4266321772789469	3400	-72.78947157	42.66322605	1872583.32	2414891.323
1104	0.5	1	Culvert	xy4267964272783273	332	-72.78326784	42.67964552	1872629.953	2416794.214
1105	1	1	Culvert	xy4267569272784375	1963	-72.78437043	42.67569785	1872649.51	2416344.379
1106	0.4	1	Culvert	xy4272101972768052	524	-72.76805398	42.7210193	1872713.394	2421580.574
1107	1	1	Culvert	xy4270000872773815	525	-72.77381635	42.70000773	1872826.392	2419188.589
1108	1	1	Culvert	xy4263425972796244	2420	-72.7962453	42.63426778	1872830.174	2411617.241
1109	1	1	Culvert	xy4263093472797037	733	-72.79703309	42.63093566	1872857.891	2411240.326
